tracer_index,tsne1,tsne2,log_density
9.600000000000000000e+01,3.874565887451171875e+01,-4.211738204956054688e+01,8.978304862976074219e+00
9.700000000000000000e+01,3.858999252319335938e+01,-4.164012527465820312e+01,8.964845657348632812e+00
9.800000000000000000e+01,3.849043273925781250e+01,-4.173904037475585938e+01,8.966106414794921875e+00
9.900000000000000000e+01,3.874295806884765625e+01,-4.238950729370117188e+01,8.981432914733886719e+00
1.000000000000000000e+02,3.863703155517578125e+01,-4.162652587890625000e+01,8.963337898254394531e+00
1.010000000000000000e+02,3.882784652709960938e+01,-4.271470642089843750e+01,8.992001533508300781e+00
1.020000000000000000e+02,3.859158706665039062e+01,-4.225696945190429688e+01,8.980220794677734375e+00
1.030000000000000000e+02,3.843390655517578125e+01,-4.168552017211914062e+01,8.964928627014160156e+00
1.040000000000000000e+02,3.843481826782226562e+01,-4.209737777709960938e+01,8.976423263549804688e+00
1.050000000000000000e+02,3.885325622558593750e+01,-4.274348068237304688e+01,8.994378089904785156e+00
1.060000000000000000e+02,3.809228515625000000e+01,-4.112827682495117188e+01,8.954385757446289062e+00
1.070000000000000000e+02,3.859420394897460938e+01,-4.260270690917968750e+01,8.991274833679199219e+00
1.080000000000000000e+02,3.792546081542968750e+01,-4.167335891723632812e+01,8.968543052673339844e+00
1.090000000000000000e+02,3.824922943115234375e+01,-4.198167037963867188e+01,8.973079681396484375e+00
1.100000000000000000e+02,3.785359573364257812e+01,-4.077399063110351562e+01,8.944470405578613281e+00
1.110000000000000000e+02,3.825854873657226562e+01,-4.140544891357421875e+01,8.962706565856933594e+00
1.120000000000000000e+02,3.840663146972656250e+01,-4.147578811645507812e+01,8.961086273193359375e+00
1.130000000000000000e+02,3.841672897338867188e+01,-4.150706100463867188e+01,8.961251258850097656e+00
1.140000000000000000e+02,3.839439773559570312e+01,-4.110363388061523438e+01,8.945152282714843750e+00
1.150000000000000000e+02,3.877283859252929688e+01,-4.268273162841796875e+01,8.990204811096191406e+00
1.160000000000000000e+02,3.910938644409179688e+01,-4.309082031250000000e+01,9.000090599060058594e+00
1.170000000000000000e+02,3.809030532836914062e+01,-4.181769561767578125e+01,8.968863487243652344e+00
1.180000000000000000e+02,3.858767318725585938e+01,-4.217784118652343750e+01,8.978977203369140625e+00
1.190000000000000000e+02,3.814085769653320312e+01,-4.178622055053710938e+01,8.969120979309082031e+00
1.200000000000000000e+02,3.845907592773437500e+01,-4.162727355957031250e+01,8.968797683715820312e+00
1.210000000000000000e+02,3.808972930908203125e+01,-4.119823074340820312e+01,8.958689689636230469e+00
1.220000000000000000e+02,3.801002883911132812e+01,-4.178937149047851562e+01,8.968512535095214844e+00
1.230000000000000000e+02,3.777290725708007812e+01,-4.083828353881835938e+01,8.951925277709960938e+00
1.240000000000000000e+02,3.832395935058593750e+01,-4.225597000122070312e+01,8.981685638427734375e+00
1.250000000000000000e+02,3.787440872192382812e+01,-4.092614364624023438e+01,8.951869010925292969e+00
1.260000000000000000e+02,3.679933929443359375e+01,-3.954351043701171875e+01,8.913521766662597656e+00
1.270000000000000000e+02,3.802738571166992188e+01,-4.177611923217773438e+01,8.970773696899414062e+00
1.280000000000000000e+02,3.715948486328125000e+01,-4.014692687988281250e+01,8.937943458557128906e+00
1.290000000000000000e+02,3.794450378417968750e+01,-4.182233428955078125e+01,8.972587585449218750e+00
1.300000000000000000e+02,3.776762008666992188e+01,-4.123467254638671875e+01,8.958273887634277344e+00
1.310000000000000000e+02,3.758983230590820312e+01,-4.101200866699218750e+01,8.957961082458496094e+00
1.320000000000000000e+02,3.773524856567382812e+01,-4.056508636474609375e+01,8.937476158142089844e+00
1.330000000000000000e+02,3.821175384521484375e+01,-4.152301788330078125e+01,8.962110519409179688e+00
1.340000000000000000e+02,3.756818771362304688e+01,-4.092543411254882812e+01,8.955731391906738281e+00
1.350000000000000000e+02,3.767626953125000000e+01,-4.127430725097656250e+01,8.959085464477539062e+00
1.360000000000000000e+02,3.792147827148437500e+01,-4.142330169677734375e+01,8.958821296691894531e+00
1.370000000000000000e+02,3.731805419921875000e+01,-4.023382186889648438e+01,8.931860923767089844e+00
1.380000000000000000e+02,3.677955627441406250e+01,-3.964631652832031250e+01,8.922149658203125000e+00
1.390000000000000000e+02,3.778226470947265625e+01,-4.128957748413085938e+01,8.955891609191894531e+00
1.400000000000000000e+02,3.698835754394531250e+01,-3.991869735717773438e+01,8.927044868469238281e+00
1.410000000000000000e+02,3.794979476928710938e+01,-4.104370880126953125e+01,8.954791069030761719e+00
1.420000000000000000e+02,3.794526672363281250e+01,-4.153736114501953125e+01,8.960330009460449219e+00
1.430000000000000000e+02,3.760670852661132812e+01,-4.081781768798828125e+01,8.951537132263183594e+00
1.440000000000000000e+02,3.727172470092773438e+01,-4.052276611328125000e+01,8.950927734375000000e+00
1.450000000000000000e+02,3.757432937622070312e+01,-4.100515747070312500e+01,8.955118179321289062e+00
1.460000000000000000e+02,3.760759353637695312e+01,-4.106309127807617188e+01,8.956886291503906250e+00
1.470000000000000000e+02,3.740006637573242188e+01,-4.065234756469726562e+01,8.952232360839843750e+00
1.480000000000000000e+02,3.746773910522460938e+01,-4.066372680664062500e+01,8.951676368713378906e+00
1.490000000000000000e+02,3.684101867675781250e+01,-3.967971420288085938e+01,8.922562599182128906e+00
1.500000000000000000e+02,3.694039535522460938e+01,-3.981878662109375000e+01,8.924343109130859375e+00
1.510000000000000000e+02,3.616530227661132812e+01,-3.852072525024414062e+01,8.904516220092773438e+00
1.520000000000000000e+02,3.701345825195312500e+01,-4.013159942626953125e+01,8.939906120300292969e+00
1.530000000000000000e+02,3.664009475708007812e+01,-3.950781250000000000e+01,8.927409172058105469e+00
1.540000000000000000e+02,3.735125732421875000e+01,-4.056035614013671875e+01,8.950074195861816406e+00
1.550000000000000000e+02,3.652944564819335938e+01,-3.938707733154296875e+01,8.927956581115722656e+00
1.560000000000000000e+02,3.708716583251953125e+01,-4.018717956542968750e+01,8.938098907470703125e+00
1.570000000000000000e+02,3.725991058349609375e+01,-4.061594390869140625e+01,8.954847335815429688e+00
1.580000000000000000e+02,3.622359466552734375e+01,-3.886406326293945312e+01,8.914236068725585938e+00
1.590000000000000000e+02,3.613848114013671875e+01,-3.877137756347656250e+01,8.917405128479003906e+00
1.600000000000000000e+02,3.672535324096679688e+01,-3.972248458862304688e+01,8.934213638305664062e+00
1.610000000000000000e+02,3.619846725463867188e+01,-3.888737106323242188e+01,8.916890144348144531e+00
1.620000000000000000e+02,3.615804290771484375e+01,-3.873716354370117188e+01,8.919321060180664062e+00
1.630000000000000000e+02,3.720551681518554688e+01,-4.065542602539062500e+01,8.956220626831054688e+00
1.640000000000000000e+02,3.735567474365234375e+01,-4.054247283935546875e+01,8.944775581359863281e+00
1.650000000000000000e+02,3.686863327026367188e+01,-4.005173873901367188e+01,8.943428039550781250e+00
1.660000000000000000e+02,3.607584762573242188e+01,-3.844137191772460938e+01,8.906433105468750000e+00
1.670000000000000000e+02,3.690183258056640625e+01,-4.008117675781250000e+01,8.943383216857910156e+00
1.680000000000000000e+02,3.590171813964843750e+01,-3.808078765869140625e+01,8.902725219726562500e+00
1.690000000000000000e+02,3.550365829467773438e+01,-3.741187286376953125e+01,8.895308494567871094e+00
1.700000000000000000e+02,3.674227142333984375e+01,-3.986462020874023438e+01,8.942560195922851562e+00
1.710000000000000000e+02,3.626480484008789062e+01,-3.896789169311523438e+01,8.920691490173339844e+00
1.720000000000000000e+02,3.638118362426757812e+01,-3.923115158081054688e+01,8.928343772888183594e+00
1.730000000000000000e+02,3.557821655273437500e+01,-3.808768844604492188e+01,8.914084434509277344e+00
1.740000000000000000e+02,3.488054275512695312e+01,-3.627502441406250000e+01,8.872633934020996094e+00
