tracer_index,tsne1,tsne2,log_density
1.220000000000000000e+02,2.076303005218505859e+00,-6.461501312255859375e+01,8.968512535095214844e+00
1.230000000000000000e+02,1.283627867698669434e+00,-6.391448974609375000e+01,8.951925277709960938e+00
1.240000000000000000e+02,1.904072999954223633e+00,-6.439746856689453125e+01,8.981685638427734375e+00
1.250000000000000000e+02,6.483979821205139160e-01,-6.277413940429687500e+01,8.951869010925292969e+00
1.260000000000000000e+02,-3.252279162406921387e-01,-6.053909301757812500e+01,8.913521766662597656e+00
1.270000000000000000e+02,1.050453424453735352e+00,-6.344019317626953125e+01,8.970773696899414062e+00
1.280000000000000000e+02,9.999825358390808105e-01,-6.342372894287109375e+01,8.937943458557128906e+00
1.290000000000000000e+02,1.816993713378906250e+00,-6.417034149169921875e+01,8.972587585449218750e+00
1.300000000000000000e+02,1.760266661643981934e+00,-6.415704345703125000e+01,8.958273887634277344e+00
1.310000000000000000e+02,8.673511743545532227e-01,-6.308390045166015625e+01,8.957961082458496094e+00
1.320000000000000000e+02,-3.515051677823066711e-02,-6.194180679321289062e+01,8.937476158142089844e+00
1.330000000000000000e+02,1.353187114000320435e-01,-6.210890960693359375e+01,8.962110519409179688e+00
1.340000000000000000e+02,3.946883678436279297e-01,-6.240278244018554688e+01,8.955731391906738281e+00
1.350000000000000000e+02,1.909948110580444336e+00,-6.423120880126953125e+01,8.959085464477539062e+00
1.360000000000000000e+02,1.504800915718078613e+00,-6.424289703369140625e+01,8.958821296691894531e+00
1.370000000000000000e+02,1.636229395866394043e+00,-6.397343444824218750e+01,8.931860923767089844e+00
1.380000000000000000e+02,1.254407167434692383e+00,-6.374169921875000000e+01,8.922149658203125000e+00
1.390000000000000000e+02,2.177944421768188477e+00,-6.481154632568359375e+01,8.955891609191894531e+00
1.400000000000000000e+02,1.015356540679931641e+00,-6.333161163330078125e+01,8.927044868469238281e+00
1.410000000000000000e+02,5.151493549346923828e-01,-6.260044097900390625e+01,8.954791069030761719e+00
1.420000000000000000e+02,2.050538301467895508e+00,-6.456034088134765625e+01,8.960330009460449219e+00
1.430000000000000000e+02,7.575988769531250000e-01,-6.293062210083007812e+01,8.951537132263183594e+00
